Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
200	0.9879158544359345	0.6430881089420829	0.6356007017262919	0.9879158544359345	0.9573826512648216	0.9496632514481573	
300	0.9793352733638792	0.6407746772178259	0.6340572895420129	0.6859718401990877	0.9622956587630582	0.930021383284277	
400	0.9774907661385472	0.6353614970988856	0.6261020301943504	0.6624426262156313	0.9714418547049599	0.9330638010874786	
500	0.977197229039643	0.6414093747820031	0.6318189598184359	0.6431807622449993	0.9529284190565037	0.9263830337258613	
600	0.9814830989606079	0.6384201138929335	0.6276538214505916	0.6398928282283376	0.9541314513648058	0.9204263583095512	
700	0.9807058730226075	0.6478087674536167	0.6353424282229415	0.6492917492828479	0.959096259162728	0.9260728949939285	
800	0.9840817150770405	0.6420023580290708	0.6311527934840937	0.6409923060289894	0.9593946176328927	0.9339259739759544	
900	0.984251518722014	0.6487855025959941	0.6381336952385374	0.643669767322013	0.9474658579025186	0.9361012834843413	
1000	0.9859932475679598	0.6450759907887298	0.6351962670753006	0.6404157594453654	0.9593676618143533	0.93781419918792	
