Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
Result(algorithm=hentropy-100, size=900, topics=44, minScore=0.83, tp=37098, tn=731160, fp=0, fn=41742, precision=1.0, recall=0.47054794520547943, clusters=21, totalSimilarities=810000, calculatedSimilarities=72842, minimumSimilarities=78840, time=36)
Result(algorithm=hentropy-200, size=900, topics=44, minScore=0.83, tp=43968, tn=731160, fp=0, fn=34872, precision=1.0, recall=0.5576864535768645, clusters=16, totalSimilarities=810000, calculatedSimilarities=115006, minimumSimilarities=78840, time=5)
Result(algorithm=hentropy-300, size=900, topics=44, minScore=0.83, tp=75266, tn=731160, fp=0, fn=3574, precision=1.0, recall=0.9546676813800101, clusters=13, totalSimilarities=810000, calculatedSimilarities=253420, minimumSimilarities=78840, time=5)
Result(algorithm=kmeans-100, size=900, topics=44, minScore=0.83, tp=61822, tn=731160, fp=0, fn=17018, precision=1.0, recall=0.7841451040081177, clusters=44, totalSimilarities=810000, calculatedSimilarities=4031012, minimumSimilarities=78840, time=1629)
Result(algorithm=kmeans-20, size=900, topics=44, minScore=0.83, tp=61162, tn=731160, fp=0, fn=17678, precision=1.0, recall=0.7757737189244038, clusters=44, totalSimilarities=810000, calculatedSimilarities=861830, minimumSimilarities=78840, time=1522)
Result(algorithm=kmeans-50, size=900, topics=44, minScore=0.83, tp=60166, tn=731160, fp=0, fn=18674, precision=1.0, recall=0.763140537798072, clusters=44, totalSimilarities=810000, calculatedSimilarities=2046810, minimumSimilarities=78840, time=2135)
Result(algorithm=random, size=900, topics=44, minScore=0.83, tp=1734, tn=731160, fp=0, fn=77106, precision=1.0, recall=0.021993911719939117, clusters=44, totalSimilarities=810000, calculatedSimilarities=18506, minimumSimilarities=78840, time=0)

1000	Result(algorithm=dbscan-10, size=1000, topics=44, minScore=0.83, tp=101156, tn=898836, fp=0, fn=8, precision=1.0, recall=0.9999209204855483, clusters=3, totalSimilarities=1000000, calculatedSimilarities=870002, minimumSimilarities=101164, time=3005)
Result(algorithm=dbscan-100, size=1000, topics=44, minScore=0.83, tp=99302, tn=898836, fp=0, fn=1862, precision=1.0, recall=0.9815942430113479, clusters=2, totalSimilarities=1000000, calculatedSimilarities=534858, minimumSimilarities=101164, time=2781)
Result(algorithm=dbscan-200, size=1000, topics=44, minScore=0.83, tp=97592, tn=898836, fp=0, fn=3572, precision=1.0, recall=0.9646909967972797, clusters=2, totalSimilarities=1000000, calculatedSimilarities=525997, minimumSimilarities=101164, time=4183)
Result(algorithm=dbscan-50, size=1000, topics=44, minScore=0.83, tp=100662, tn=898836, fp=0, fn=502, precision=1.0, recall=0.9950377604681507, clusters=2, totalSimilarities=1000000, calculatedSimilarities=788820, minimumSimilarities=101164, time=5173)
Result(algorithm=entropy-1, size=1000, topics=44, minScore=0.83, tp=96952, tn=898836, fp=0, fn=4212, precision=1.0, recall=0.9583646356411372, clusters=13, totalSimilarities=1000000, calculatedSimilarities=321042, minimumSimilarities=101164, time=4)
Result(algorithm=entropy-2, size=1000, topics=44, minScore=0.83, tp=46214, tn=898836, fp=0, fn=54950, precision=1.0, recall=0.45682258510932744, clusters=59, totalSimilarities=1000000, calculatedSimilarities=82278, minimumSimilarities=101164, time=2)
Result(algorithm=entropy-3, size=1000, topics=44, minScore=0.83, tp=38340, tn=898836, fp=0, fn=62824, precision=1.0, recall=0.3789885730101617, clusters=116, totalSimilarities=1000000, calculatedSimilarities=52798, minimumSimilarities=101164, time=2)
Result(algorithm=gradient, size=1000, topics=44, minScore=0.83, tp=78514, tn=898836, fp=0, fn=22650, precision=1.0, recall=0.7761061247083942, clusters=56, totalSimilarities=1000000, calculatedSimilarities=195984, minimumSimilarities=101164, time=1)
Result(algorithm=hentropy-100, size=1000, topics=44, minScore=0.83, tp=44104, tn=898836, fp=0, fn=57060, precision=1.0, recall=0.4359653631726701, clusters=22, totalSimilarities=1000000, calculatedSimilarities=81430, minimumSimilarities=101164, time=47)
Result(algorithm=hentropy-200, size=1000, topics=44, minScore=0.83, tp=55592, tn=898836, fp=0, fn=45572, precision=1.0, recall=0.5495235459254281, clusters=16, totalSimilarities=1000000, calculatedSimilarities=142166, minimumSimilarities=101164, time=5)
Result(algorithm=hentropy-300, size=1000, topics=44, minScore=0.83, tp=77274, tn=898836, fp=0, fn=23890, precision=1.0, recall=0.7638487999683682, clusters=14, totalSimilarities=1000000, calculatedSimilarities=221502, minimumSimilarities=101164, time=4)
Result(algorithm=kmeans-100, size=1000, topics=44, minScore=0.83, tp=77792, tn=898836, fp=0, fn=23372, precision=1.0, recall=0.768969198529121, clusters=44, totalSimilarities=1000000, calculatedSimilarities=4487322, minimumSimilarities=101164, time=2308)
Result(algorithm=kmeans-20, size=1000, topics=44, minScore=0.83, tp=81982, tn=898836, fp=0, fn=19182, precision=1.0, recall=0.8103870942232415, clusters=44, totalSimilarities=1000000, calculatedSimilarities=973580, minimumSimilarities=101164, time=1294)
Result(algorithm=kmeans-50, size=1000, topics=44, minScore=0.83, tp=79432, tn=898836, fp=0, fn=21732, precision=1.0, recall=0.7851804989917361, clusters=44, totalSimilarities=1000000, calculatedSimilarities=2290386, minimumSimilarities=101164, time=917)
Result(algorithm=random, size=1000, topics=44, minScore=0.83, tp=2192, tn=898836, fp=0, fn=98972, precision=1.0, recall=0.021667786959788066, clusters=44, totalSimilarities=1000000, calculatedSimilarities=22752, minimumSimilarities=101164, time=1)
