Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
200	0.9938837920489296	0.697029702970297	0.6848767488341106	0.9938837920489296	0.9777317452097358	0.9734789391575663	
300	0.9894484412470025	0.6933333333333334	0.6823014383989994	0.7576650943396227	0.9804016452939753	0.9623245506032996	
400	0.9884846898717613	0.6844792375765827	0.6686186703410266	0.7261041529334212	0.9852979784720399	0.9640846957920128	
500	0.9883309759547383	0.6943525385054192	0.6785219399538106	0.6971766848816029	0.9752865329512894	0.9602035253498092	
600	0.9905660377358491	0.6895180531254971	0.6713433317206902	0.6919107724061284	0.9759492884220993	0.9566924148410789	
700	0.9901621909066738	0.7044175336858264	0.6844475233806719	0.7066969353007946	0.9786661885980638	0.9600219058050384	
800	0.9919115831069399	0.6953012625859039	0.6773866904289358	0.6936832419890387	0.9788285330080996	0.9645812854742049	
900	0.9919992557447205	0.7059209936997999	0.6890502117362372	0.6979510905485791	0.9722551576950439	0.9658299131430752	
1000	0.992896777341985	0.7001656285720951	0.6842043119937657	0.6927552552552553	0.9788138699508834	0.9668088262562582	
