Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
200	3	1	1	1	7	31	50	25	7	7	7	44	44	44	44	
300	2	1	1	2	9	38	67	32	9	9	9	44	44	44	44	
400	2	1	1	2	10	43	75	38	10	10	10	44	44	44	44	
500	2	2	1	4	10	45	84	41	13	10	10	44	44	44	44	
600	2	2	1	3	12	48	94	44	17	12	12	44	44	44	44	
700	3	2	1	3	12	50	99	46	18	12	12	44	44	44	44	
800	3	3	2	2	12	52	103	48	19	13	12	44	44	44	44	
900	3	2	2	2	13	55	109	55	21	16	13	44	44	44	44	
1000	3	2	2	2	13	59	116	56	22	16	14	44	44	44	44	
