Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
200	125	116	111	114	18	2	2	5	6	2	1	107	141	112	3	
300	246	227	249	233	1	1	1	1	5	2	2	163	194	228	1	
400	434	488	643	437	1	1	1	2	2	2	2	365	519	284	0	
500	729	661	679	670	2	1	1	0	4	2	1	571	469	525	0	
600	1060	1005	985	993	2	2	2	0	3	3	1	537	623	1244	0	
700	1446	1329	1302	1360	1	2	2	2	4	3	3	1843	969	932	1	
800	1973	2017	2122	2130	2	2	2	1	5	3	4	2759	979	1378	1	
900	2376	2364	2122	2337	2	2	2	1	36	5	5	1629	1522	2135	0	
1000	3005	2781	4183	5173	4	2	2	1	47	5	4	2308	1294	917	1	
