Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
Result(algorithm=entropy3, size=600, topics=44, minScore=0.95, tp=8326, tn=343522, fp=0, fn=8152, precision=1.0, recall=0.5052797669620099, clusters=94, totalSimilarities=360000, calculatedSimilarities=16336, minimumSimilarities=16478, time=2)
Result(algorithm=hentropy, size=600, topics=44, minScore=0.95, tp=8716, tn=343522, fp=0, fn=7762, precision=1.0, recall=0.5289476878261925, clusters=40, totalSimilarities=360000, calculatedSimilarities=27096, minimumSimilarities=16478, time=3)
Result(algorithm=kmeans, size=600, topics=44, minScore=0.95, tp=15704, tn=343522, fp=0, fn=774, precision=1.0, recall=0.9530282801310839, clusters=44, totalSimilarities=360000, calculatedSimilarities=28258, minimumSimilarities=16478, time=707)
Result(algorithm=gradient, size=600, topics=44, minScore=0.95, tp=15110, tn=343522, fp=0, fn=1368, precision=1.0, recall=0.9169802160456366, clusters=44, totalSimilarities=360000, calculatedSimilarities=63268, minimumSimilarities=16478, time=0)

700	Result(algorithm=entropy1, size=700, topics=44, minScore=0.95, tp=22344, tn=467212, fp=0, fn=444, precision=1.0, recall=0.9805160610847815, clusters=12, totalSimilarities=490000, calculatedSimilarities=146300, minimumSimilarities=22788, time=1)
Result(algorithm=entropy2, size=700, topics=44, minScore=0.95, tp=12390, tn=467212, fp=0, fn=10398, precision=1.0, recall=0.543707214323328, clusters=50, totalSimilarities=490000, calculatedSimilarities=37244, minimumSimilarities=22788, time=2)
Result(algorithm=entropy3, size=700, topics=44, minScore=0.95, tp=11856, tn=467212, fp=0, fn=10932, precision=1.0, recall=0.5202738283307003, clusters=99, totalSimilarities=490000, calculatedSimilarities=22796, minimumSimilarities=22788, time=2)
Result(algorithm=hentropy, size=700, topics=44, minScore=0.95, tp=12452, tn=467212, fp=0, fn=10336, precision=1.0, recall=0.5464279445322099, clusters=41, totalSimilarities=490000, calculatedSimilarities=38468, minimumSimilarities=22788, time=3)
Result(algorithm=kmeans, size=700, topics=44, minScore=0.95, tp=21836, tn=467212, fp=0, fn=952, precision=1.0, recall=0.958223626470072, clusters=44, totalSimilarities=490000, calculatedSimilarities=42216, minimumSimilarities=22788, time=927)
Result(algorithm=gradient, size=700, topics=44, minScore=0.95, tp=21036, tn=467212, fp=0, fn=1752, precision=1.0, recall=0.923117430226435, clusters=46, totalSimilarities=490000, calculatedSimilarities=88470, minimumSimilarities=22788, time=1)

