Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
200	0.7316175322353349	0.6180000113246632	0.6297099953674847	0.7316175322353349	0.9377118996738049	0.8008703202957879	
300	0.7308798144311862	0.6154092329728442	0.63265845989615	0.5698223519375999	0.93522830511561	0.7915372483438438	
400	0.7311782948704051	0.6106291138323195	0.6268901040105979	0.5919362887886923	0.9352824011028058	0.7986315425992668	
500	0.7207375298495158	0.6135249367464894	0.6311650253124919	0.6129488670086607	0.9164003082565239	0.7893753709548558	
600	0.7248183147546473	0.6105092377336191	0.6280671865334684	0.6089835997073113	0.9198396156162948	0.7842196524799392	
700	0.7163462247259027	0.6168677813488077	0.6353253053750695	0.6157309674536141	0.9175134231054349	0.7854900332523637	
800	0.7156647007227843	0.6130666278192728	0.6336884156829721	0.6188698255977361	0.9205765468791542	0.7928004870212367	
900	0.7102317446370219	0.6193330725748635	0.6399128411441539	0.6281505019370965	0.9142777432232605	0.7919461169176755	
1000	0.7050151478517739	0.6169508584127397	0.6382906882215708	0.6272353468558792	0.921052755218852	0.7892735121035805	
