Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
200	0.9965653896961691	1.0	1.0	1.0	0.9771074602747105	0.6005895357406043	0.5459418070444104	0.898491879350348	0.9771074602747105	0.9771074602747105	0.9771074602747105	0.7555701179554392	0.7608482871125611	0.8274158690953998	0.0372093023255814	
300	0.9983768260706705	1.0	1.0	0.9876325088339223	0.9725922131147542	0.600976630624346	0.5323819978046103	0.8745791245791246	0.9725922131147542	0.9725922131147542	0.9725922131147542	0.8493975903614458	0.8405838994074287	0.8442587523411612	0.04198193800341713	
400	0.9997820559389756	1.0	1.0	0.9881678547806276	0.9710014947683109	0.6171153073523503	0.5393592191809887	0.8834644392182305	0.9710014947683109	0.9710014947683109	0.9710014947683109	0.8605478771828189	0.8850016196954972	0.859415127164278	0.039025779803446806	
500	0.9998127340823969	0.9858539827209721	1.0	0.9707072653690498	0.9728846153846153	0.6200749257201912	0.5366120967189534	0.8759930551901931	0.7385451110061407	0.9728846153846153	0.9728846153846153	0.8639795809847921	0.8569899951848483	0.8763477620575395	0.04251420194245923	
600	0.9997424339987122	0.9845731468165774	1.0	0.9797714435833443	0.9756676557863501	0.6186474589835934	0.5309943732564187	0.8633104053856285	0.694347552006724	0.9756676557863501	0.9756676557863501	0.8795037328236015	0.8649300354389683	0.8875281985175637	0.040739105757709525	
700	0.9997481627326633	0.9820359281437125	1.0	0.9876497439581063	0.9735939482215853	0.6268347110035516	0.5362993735133504	0.8607264856971498	0.6854615477193405	0.9735939482215853	0.9735939482215853	0.8804612427930814	0.9275632686123861	0.8456457408581695	0.041948639806390894	
800	0.9998179742185302	0.9663263386520274	0.9850209907640637	0.9962968498314485	0.9757329266226065	0.6232204277806883	0.5367258993850772	0.8625893865261574	0.6516608294108461	0.8721824152858636	0.9757329266226065	0.8653864203788177	0.8811388163862202	0.8891992722327385	0.04211071879757702	
900	0.9999492617585874	0.9891400510302206	0.9816584861792819	0.9964358452138493	0.9768081709991824	0.6335037698240749	0.5538455894491626	0.869888049539154	0.63996273870517	0.7160445573578269	0.9768081709991824	0.879014943623722	0.8737303752803531	0.8656604750874063	0.04304117953682329	
1000	0.9999604586793199	0.9907116418744326	0.9820282155004125	0.9975127089671302	0.9787397282400211	0.6271492352997055	0.5496616584470696	0.8739411614109684	0.6072087452157392	0.7092806654928678	0.8661159618466918	0.8693980643286618	0.8952638878271979	0.8796651088617687	0.042416502186617126	
