Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.0	1.0	1.0	0.2188276890779515	0.0	0.10590575106347716	
300	0.0	0.5276537607650833	1.0	0.21354509746517358	0.0	0.09846544194783967	
400	0.0	0.5383363422506702	1.0	0.2151922971716177	0.0	0.09869248864817551	
500	0.0	0.20542696688185588	1.0	0.22419916373624452	0.0	0.09956437306460925	
600	0.0	0.37832135517371374	1.0	0.2236936509673732	0.0	0.09789257354103584	
700	0.0	0.39327373350361855	1.0	0.22990746342228496	0.0	0.10033384867020681	
800	0.0	0.7341146183815942	1.0	0.2333398900541447	0.0	0.09994513059952584	
900	0.0	0.7403933475573062	1.0	0.23877126757481262	0.0	0.10260134580666339	
1000	0.0	0.7650516890734238	1.0	0.24462527090592723	0.0	0.10549199186503433	
