Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.936545240893067	0.09542713567839196	0.9552123552123553	0.31493055555555555	0.08870967741935484	0.41684607104413346	
300	0.9268693508627773	0.1535352742682257	0.8650479954827781	0.30101474552084984	0.0771850170261067	0.39470685070279854	
400	0.9268136784915308	0.14602202384830912	0.9064483795522886	0.28976715139619946	0.08547519426180514	0.3918705035971223	
500	0.9242532368233255	0.29707174663088676	0.8623323397913562	0.2805723476235372	0.09406875708349074	0.38163564683230955	
600	0.9222668698905362	0.19261707704424846	0.8586235489220564	0.2844071966784561	0.08672798948751642	0.3765239037467288	
700	0.9190674190674191	0.1950773004787229	0.8665777514325232	0.2846291208791209	0.0855993872079663	0.3760738293266492	
800	0.9232066602074138	0.12368065175803153	0.8843013846430499	0.29545967692276115	0.09789200115506785	0.38989163533674703	
900	0.9239717719704488	0.12640730669112565	0.8973983591057432	0.2980595596388405	0.09735016490390083	0.39674943448528355	
1000	0.9276205966699482	0.12777608530083778	0.8668806428521948	0.3029352397497828	0.10237811036635755	0.40266893693841543	
