Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.7908455685229558	0.0	0.0	0.287004284836185	0.004085693353786034	0.31365167498868357	
300	0.7854412670204511	0.0	0.0	0.2798298487236536	0.0031224719430245312	0.2813835673523784	
400	0.7844230714831044	0.0	0.0	0.2720159941533399	0.003868759162152832	0.2911310613249366	
500	0.7872826936755501	0.2834005039390872	0.0	0.2637560286459698	0.004696149209658669	0.2769505032348031	
600	0.7924773924750128	0.10136062112636418	0.0	0.27036992302167395	0.003986519973184544	0.26140910734549305	
700	0.7835438239004682	0.10165232695964904	0.0	0.2604697102775645	0.003872981395463672	0.2557755838117519	
800	0.7885072461111535	0.0	0.0	0.26404668555734034	0.005043080518472267	0.26363267556620573	
900	0.7883491458765264	0.0	0.0	0.26134367390697943	0.004974294996346097	0.27235060026610713	
1000	0.7973836052768528	0.0	0.0	0.26049099625898675	0.005483594805884658	0.27674950292746325	
