Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	3604	40004	442790	11720	944	7632	
300	7602	51278	667384	25528	2062	16094	
400	12916	92490	892372	45236	3746	28200	
500	20118	68332	1121972	72624	5794	44128	
600	29468	155510	1349544	104648	8210	63268	
700	41104	219212	1581188	146300	11144	88470	
800	56534	485904	1816410	195676	14652	118366	
900	73452	620186	2046474	253420	18486	153858	
1000	94452	788820	2287614	321042	22782	195984	
