Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	30502	7394	2274	13064	20102	
300	69660	16868	4674	33306	47524	
400	122736	29480	8046	55962	84814	
500	191430	44580	10940	96658	133760	
600	283598	65842	15490	150028	198646	
700	385220	84420	20084	197866	271006	
800	508076	112594	26320	287980	360712	
900	654000	143072	32926	379414	471776	
1000	811546	172578	39052	465984	601170	
