Size	entropy1	entropy2	entropy3	kmeans	gradient	
Result(algorithm=entropy2, size=700, topics=13, minScore=0.95, tp=35336, tn=346448, fp=0, fn=108216, precision=1.0, recall=0.24615470352206867, clusters=23, totalSimilarities=490000, calculatedSimilarities=84420, minimumSimilarities=143552, time=1)
Result(algorithm=entropy3, size=700, topics=13, minScore=0.95, tp=7798, tn=346448, fp=0, fn=135754, precision=1.0, recall=0.05432177886758805, clusters=97, totalSimilarities=490000, calculatedSimilarities=20084, minimumSimilarities=143552, time=1)
Result(algorithm=kmeans, size=700, topics=13, minScore=0.95, tp=142674, tn=346448, fp=0, fn=878, precision=1.0, recall=0.9938837494427106, clusters=13, totalSimilarities=490000, calculatedSimilarities=197866, minimumSimilarities=143552, time=50)
Result(algorithm=gradient, size=700, topics=13, minScore=0.95, tp=136294, tn=346448, fp=0, fn=7258, precision=1.0, recall=0.9494399242086491, clusters=14, totalSimilarities=490000, calculatedSimilarities=271006, minimumSimilarities=143552, time=0)

800	Result(algorithm=entropy1, size=800, topics=13, minScore=0.95, tp=193658, tn=445846, fp=0, fn=496, precision=1.0, recall=0.9974453269054462, clusters=8, totalSimilarities=640000, calculatedSimilarities=508076, minimumSimilarities=194154, time=0)
Result(algorithm=entropy2, size=800, topics=13, minScore=0.95, tp=48222, tn=445846, fp=0, fn=145932, precision=1.0, recall=0.2483698507370438, clusters=23, totalSimilarities=640000, calculatedSimilarities=112594, minimumSimilarities=194154, time=0)
Result(algorithm=entropy3, size=800, topics=13, minScore=0.95, tp=10506, tn=445846, fp=0, fn=183648, precision=1.0, recall=0.05411168453907723, clusters=101, totalSimilarities=640000, calculatedSimilarities=26320, minimumSimilarities=194154, time=0)
Result(algorithm=kmeans, size=800, topics=13, minScore=0.95, tp=193244, tn=445846, fp=0, fn=910, precision=1.0, recall=0.9953129989595888, clusters=13, totalSimilarities=640000, calculatedSimilarities=287980, minimumSimilarities=194154, time=52)
Result(algorithm=gradient, size=800, topics=13, minScore=0.95, tp=184892, tn=445846, fp=0, fn=9262, precision=1.0, recall=0.9522956003996828, clusters=14, totalSimilarities=640000, calculatedSimilarities=360712, minimumSimilarities=194154, time=0)

900	Result(algorithm=entropy1, size=900, topics=13, minScore=0.95, tp=258158, tn=551264, fp=0, fn=578, precision=1.0, recall=0.997766062704842, clusters=8, totalSimilarities=810000, calculatedSimilarities=654000, minimumSimilarities=258736, time=1)
Result(algorithm=entropy2, size=900, topics=13, minScore=0.95, tp=62480, tn=551264, fp=0, fn=196256, precision=1.0, recall=0.24148166470842866, clusters=23, totalSimilarities=810000, calculatedSimilarities=143072, minimumSimilarities=258736, time=0)
Result(algorithm=entropy3, size=900, topics=13, minScore=0.95, tp=13434, tn=551264, fp=0, fn=245302, precision=1.0, recall=0.05192164986704595, clusters=103, totalSimilarities=810000, calculatedSimilarities=32926, minimumSimilarities=258736, time=1)
Result(algorithm=kmeans, size=900, topics=13, minScore=0.95, tp=257690, tn=551264, fp=0, fn=1046, precision=1.0, recall=0.9959572691855791, clusters=13, totalSimilarities=810000, calculatedSimilarities=379414, minimumSimilarities=258736, time=104)
Result(algorithm=gradient, size=900, topics=13, minScore=0.95, tp=248020, tn=551264, fp=0, fn=10716, precision=1.0, recall=0.9585832663409808, clusters=14, totalSimilarities=810000, calculatedSimilarities=471776, minimumSimilarities=258736, time=1)

1000	Result(algorithm=entropy1, size=1000, topics=13, minScore=0.95, tp=328362, tn=671022, fp=0, fn=616, precision=1.0, recall=0.998127534364, clusters=8, totalSimilarities=1000000, calculatedSimilarities=811546, minimumSimilarities=328978, time=1)
Result(algorithm=entropy2, size=1000, topics=13, minScore=0.95, tp=77896, tn=671022, fp=0, fn=251082, precision=1.0, recall=0.23678179087963327, clusters=23, totalSimilarities=1000000, calculatedSimilarities=172578, minimumSimilarities=328978, time=1)
Result(algorithm=entropy3, size=1000, topics=13, minScore=0.95, tp=16408, tn=671022, fp=0, fn=312570, precision=1.0, recall=0.04987567557709026, clusters=108, totalSimilarities=1000000, calculatedSimilarities=39052, minimumSimilarities=328978, time=1)
Result(algorithm=kmeans, size=1000, topics=13, minScore=0.95, tp=327416, tn=671022, fp=0, fn=1562, precision=1.0, recall=0.9952519621372857, clusters=13, totalSimilarities=1000000, calculatedSimilarities=465984, minimumSimilarities=328978, time=99)
Result(algorithm=gradient, size=1000, topics=13, minScore=0.95, tp=316704, tn=671022, fp=0, fn=12274, precision=1.0, recall=0.9626905142593122, clusters=14, totalSimilarities=1000000, calculatedSimilarities=601170, minimumSimilarities=328978, time=0)
