Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.3144664640101148	0.6268318076473388	0.7584664917409731	0.8865719697409278	0.573792990101218	
300	0.2943304507723662	0.6185014608233352	0.7545750900283714	0.8237578993744394	0.5595952780183624	
400	0.31042482377431013	0.6412192644911427	0.7822089827951858	0.8641881863689691	0.5612044623332627	
500	0.31577528496723173	0.6569795425758092	0.8040734666161147	0.8277614937328552	0.5754595787463245	
600	0.29589314038066883	0.6832343923986595	0.8474421797244434	0.8135729371174225	0.5783460693309179	
700	0.3001445940688213	0.7009768061133309	0.8578579152448084	0.8371285655583206	0.5828302632916856	
800	0.2933444823863768	0.7137769117823742	0.8779034355591087	0.7848791208216837	0.579856031675602	
900	0.2807545682753787	0.7389726837279453	0.9109701788189217	0.7770539938748775	0.5729836338617743	
1000	0.2789755189969376	0.7611101142062455	0.933310102298734	0.7910881101535983	0.5577485459618894	
