Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.9991953329309998	0.44846405738343986	0.144349123461395	0.9950510049489951	0.9514174307092422	
300	0.997979983472592	0.4645796693633486	0.14341612793467165	0.9960441582336707	0.96608242539081	
400	0.9983003108003109	0.4496805712138294	0.1333876295190263	0.9939521045700629	0.9611704270749396	
500	0.9983710407239819	0.4325906344410876	0.11747363646671957	0.9962363397270213	0.9693640003724742	
600	0.9987100997266181	0.414142184141117	0.10724943591236624	0.9966335162874147	0.9725602528644804	
700	0.9988492680647478	0.3950628326103484	0.10304592005285762	0.996932493903419	0.9740643067973099	
800	0.9987210297773148	0.397910684226161	0.10266783934330108	0.9976509945843809	0.9755649710061576	
900	0.9988817823383517	0.3890217174736003	0.09871771319395965	0.997974540398818	0.9788537284215678	
1000	0.9990628898287036	0.3828998658061218	0.09501253669807115	0.997620331691027	0.9809906424524766	
