Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.9983932526956389	0.5417735713744602	0.503025559960607	0.9901992575945051	0.9116299285371581	
300	0.9959762394894724	0.5457757882795502	0.5029835742012232	0.992150541730763	0.9365425012999653	
400	0.996612147978915	0.5420664509226857	0.5025532470230335	0.9880492006347128	0.9280378714586227	
500	0.9967526696027278	0.5380854731174449	0.50194701230438	0.9925290217297178	0.9423165224040002	
600	0.9974268419690617	0.5340989063097938	0.5016053630732725	0.9933121375299515	0.9480126865149388	
700	0.9977038237367657	0.5302960690330187	0.5014754278296696	0.9939024537031504	0.9507180848406627	
800	0.9974485900827562	0.5308437913775708	0.5014640372018283	0.9953239829489653	0.9534334552702961	
900	0.9977685579427613	0.529156697195177	0.501347928862458	0.9959654410217981	0.9594409392544718	
1000	0.998129287427779	0.5280328082460832	0.5012437915071356	0.9952632340690586	0.9633865131224295	
