Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.6990796678591207	0.5024394585995303	0.6582943373238948	0.4910025070104601	0.0030508766573183795	0.4354789187642648	
300	0.6887066701624961	0.4013241584531462	0.7008702356921601	0.4849140305765896	0.002281917980308132	0.40438239474290244	
400	0.7119146372766852	0.424620765544606	0.6931121293327176	0.4814171601238333	0.0020497712565838407	0.41797718248080823	
500	0.6791214109442232	0.44645397948304977	0.6598881746284838	0.48042334118769303	0.003135815010453644	0.404677520777228	
600	0.6732253724868297	0.4461932978350833	0.6499227088024375	0.4843487373512234	0.002227035394890119	0.3873940295136262	
700	0.6640805448411129	0.42776421168893564	0.6868982906131116	0.4805337112732424	0.0022724747115460786	0.3859597492342286	
800	0.6824098001369793	0.43151504600444995	0.6834215297279698	0.48696154574559425	0.002460242938452269	0.39372184092573953	
900	0.6890426761456232	0.4613247480555819	0.691356194623531	0.4892869608891459	0.0034284832366779667	0.39695299068987083	
1000	0.6924919641831466	0.4407580148974028	0.693468242289329	0.49348628069181	0.0035760902200250655	0.4043072913175708	
