Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.9158273381294963	1.0	0.7863309352517985	0.9633093525179857	0.02014388489208633	0.8741007194244604	
300	0.9104377104377105	0.8919191919191919	0.8427609427609427	0.9585858585858585	0.01919191919191919	0.8417508417508418	
400	0.9166027607361963	0.9175613496932515	0.9029907975460123	0.9557131901840491	0.019555214723926382	0.8560199386503068	
500	0.9090216010165184	0.9411689961880559	0.875730622617535	0.9576874205844981	0.02503176620076239	0.8462515883100381	
600	0.9113122967390349	0.9408455656148369	0.872022501538191	0.9615012745011866	0.02118308868770326	0.8273710116902523	
700	0.9093394367092631	0.9193845762604107	0.89624260919321	0.9582300209803548	0.02123466208913472	0.8270710153220167	
800	0.9157794590676392	0.9223485706519277	0.8751415756806958	0.9624881076428216	0.02097585285190051	0.8307434422144702	
900	0.9156758985636726	0.9524431310562848	0.8583946120541543	0.9639543673974297	0.023950243969486633	0.8327606350079032	
1000	0.9181412976752876	0.9273760909600448	0.8891024101209064	0.967304561347319	0.023594096137934714	0.8393786532148291	
