Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	3604	40004	442816	11720	942	7632	
300	7602	63056	666320	25528	2060	16094	
400	12916	112266	892868	45236	3746	28200	
500	20118	176210	1119038	72624	5744	44128	
600	29468	252974	1347616	104648	8216	63268	
700	41104	286240	1578026	146300	11140	88470	
800	56534	367910	1810636	195676	14634	118366	
900	73452	446168	2043068	253420	18486	153858	
1000	94452	475066	2287268	321042	22770	195984	
