Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.8234152652005174	0.13057773602630343	0.810229799851742	0.37454545454545457	0.03180011357183418	0.47591069330199764	
300	0.8167950460655489	0.15425826175571405	0.8371237458193981	0.36537474332648867	0.029610389610389608	0.46010858562620777	
400	0.8333623845215269	0.15654591544688853	0.822707423580786	0.36078743576753275	0.029612425606038613	0.46714793889935136	
500	0.8093217942191301	0.15476389469285415	0.8042476223817024	0.34312118728944735	0.03755242089210827	0.44872658671338095	
600	0.8033784045561969	0.15562889835560276	0.7973477998794454	0.3450734215548651	0.03174185051037208	0.44077638079183346	
700	0.7961370404386184	0.18248239658784035	0.8197836706210746	0.34049859368116664	0.03188696357821376	0.4364411044385547	
800	0.8095314377252705	0.19802548390234412	0.8221574344023322	0.355532126749839	0.031942048982407725	0.4535717819333136	
900	0.8151977729511457	0.2202227015775026	0.8301266075166982	0.3611307784400304	0.03678585565378018	0.45907881152858937	
1000	0.8171700735215516	0.25316769281212426	0.8265902408158708	0.3670298954873208	0.03656518861681006	0.4660526530279567	
