Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	0.6769410327167241	0.0	0.0	0.2508090626257207	0.0030508766573183795	0.3051188972704443	
300	0.6689350784422963	0.0	0.0	0.2518900001221523	0.002281917980308132	0.28358772426943113	
400	0.6953068067246955	0.0	0.0	0.24872032657655044	0.0020497712565838407	0.29918171821037604	
500	0.6604327743865522	0.0	0.0	0.23759912877413544	0.003135815010453644	0.2834959276755461	
600	0.6533170563022048	0.0	0.0	0.24151709516717973	0.002227035394890119	0.26726213766020174	
700	0.6430443038860859	0.0	0.0	0.23008337084641128	0.0022724747115460786	0.26162653657322915	
800	0.6616194723049936	0.0	0.0	0.2326542825569608	0.002460242938452269	0.2691611263882857	
900	0.6687605783424958	0.0	0.0	0.22962077484931598	0.0034284832366779667	0.2697190070028068	
1000	0.6713929290872724	0.008213742380630995	0.0	0.22744256056805667	0.0035760902200250655	0.27345176317147096	
