Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.891688608333622	0.4859259889672607	0.40663360069910426	0.7439467962411901	0.788998643868132	
300	0.8900847937038093	0.5126479845001775	0.4376845798532224	0.7698692287698854	0.8254747278042567	
400	0.9045686902163599	0.5227668812541938	0.4341109465827855	0.806339605403358	0.8414597811220218	
500	0.9244364559833002	0.5382274740299584	0.444617015084496	0.7811300572442814	0.8489349432670962	
600	0.9247328855825563	0.5623096676373484	0.45881618252571854	0.7944096569358468	0.8491755953235613	
700	0.9315142233874502	0.5966159251579743	0.49641837798855326	0.8336836242899391	0.860284836724442	
800	0.9391377181741736	0.6010784452998179	0.5067430953542413	0.8258274588100774	0.8642985053316694	
900	0.9432373446068438	0.6075046562243589	0.5185108805657731	0.8349422132071692	0.8672974411791176	
1000	0.9490582554651825	0.6074861202797142	0.5196105472599686	0.844207014544128	0.8713280891675633	
