Size	entropy1	entropy2	entropy3	kmeans	gradient	
Result(algorithm=entropy3, size=700, topics=44, top=5, minScore=0.75, tp=2182, tn=485960, fp=758, fn=1100, precision=0.7421768707482993, recall=0.6648385131017672, clusters=99, totalSimilarities=490000, calculatedSimilarities=22796, time=1)
Result(algorithm=kmeans, size=700, topics=44, top=5, minScore=0.75, tp=2959, tn=486476, fp=242, fn=323, precision=0.9243986254295533, recall=0.9015843997562462, clusters=44, totalSimilarities=490000, calculatedSimilarities=41004, time=811)
Result(algorithm=gradient, size=700, topics=44, top=5, minScore=0.75, tp=2948, tn=486582, fp=136, fn=334, precision=0.9559014267185474, recall=0.8982327848872639, clusters=46, totalSimilarities=490000, calculatedSimilarities=88470, time=0)

800	Result(algorithm=entropy1, size=800, topics=44, top=5, minScore=0.75, tp=3651, tn=636116, fp=105, fn=128, precision=0.9720447284345048, recall=0.9661286054511775, clusters=12, totalSimilarities=640000, calculatedSimilarities=195676, time=3)
Result(algorithm=entropy2, size=800, topics=44, top=5, minScore=0.75, tp=2883, tn=635443, fp=778, fn=896, precision=0.7874897568970227, recall=0.7629002381582429, clusters=52, totalSimilarities=640000, calculatedSimilarities=50228, time=2)
Result(algorithm=entropy3, size=800, topics=44, top=5, minScore=0.75, tp=2563, tn=635339, fp=882, fn=1216, precision=0.743976777939042, recall=0.6782217517861868, clusters=103, totalSimilarities=640000, calculatedSimilarities=31114, time=2)
Result(algorithm=kmeans, size=800, topics=44, top=5, minScore=0.75, tp=3414, tn=635900, fp=321, fn=365, precision=0.9140562248995984, recall=0.9034136014818736, clusters=44, totalSimilarities=640000, calculatedSimilarities=56312, time=2026)
Result(algorithm=gradient, size=800, topics=44, top=5, minScore=0.75, tp=3418, tn=636057, fp=164, fn=361, precision=0.954215522054718, recall=0.9044720825615242, clusters=48, totalSimilarities=640000, calculatedSimilarities=118366, time=1)

900	Result(algorithm=entropy1, size=900, topics=44, top=5, minScore=0.75, tp=4130, tn=805625, fp=111, fn=134, precision=0.9738269276114124, recall=0.9685741088180112, clusters=13, totalSimilarities=810000, calculatedSimilarities=253420, time=1)
Result(algorithm=entropy2, size=900, topics=44, top=5, minScore=0.75, tp=3270, tn=804876, fp=860, fn=994, precision=0.7917675544794189, recall=0.7668855534709194, clusters=55, totalSimilarities=810000, calculatedSimilarities=65920, time=2)
Result(algorithm=entropy3, size=900, topics=44, top=5, minScore=0.75, tp=2942, tn=804750, fp=986, fn=1322, precision=0.7489816700610998, recall=0.6899624765478424, clusters=109, totalSimilarities=810000, calculatedSimilarities=41976, time=2)
Result(algorithm=kmeans, size=900, topics=44, top=5, minScore=0.75, tp=3869, tn=805400, fp=336, fn=395, precision=0.9200951248513675, recall=0.9073639774859287, clusters=44, totalSimilarities=810000, calculatedSimilarities=71956, time=1013)
Result(algorithm=gradient, size=900, topics=44, top=5, minScore=0.75, tp=3864, tn=805557, fp=179, fn=400, precision=0.9557259460796438, recall=0.9061913696060038, clusters=55, totalSimilarities=810000, calculatedSimilarities=153858, time=1)

1000	Result(algorithm=entropy1, size=1000, topics=44, top=5, minScore=0.75, tp=4623, tn=995132, fp=110, fn=135, precision=0.9767589266849778, recall=0.9716267339218159, clusters=13, totalSimilarities=1000000, calculatedSimilarities=321042, time=2)
Result(algorithm=entropy2, size=1000, topics=44, top=5, minScore=0.75, tp=3649, tn=994282, fp=960, fn=1109, precision=0.7917118680841831, recall=0.7669188734762505, clusters=59, totalSimilarities=1000000, calculatedSimilarities=82278, time=3)
Result(algorithm=entropy3, size=1000, topics=44, top=5, minScore=0.75, tp=3298, tn=994128, fp=1114, fn=1460, precision=0.7475067996373527, recall=0.6931483816729719, clusters=116, totalSimilarities=1000000, calculatedSimilarities=52798, time=2)
Result(algorithm=kmeans, size=1000, topics=44, top=5, minScore=0.75, tp=4349, tn=994882, fp=360, fn=409, precision=0.9235506476959014, recall=0.9140395124001681, clusters=44, totalSimilarities=1000000, calculatedSimilarities=83068, time=2714)
Result(algorithm=gradient, size=1000, topics=44, top=5, minScore=0.75, tp=4326, tn=995048, fp=194, fn=432, precision=0.9570796460176991, recall=0.9092055485498108, clusters=56, totalSimilarities=1000000, calculatedSimilarities=195984, time=1)
