Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.616816813461827	0.43649009153136326	0.37591565198115556	0.7045621808565747	0.61894736181685	
300	0.6185819688450522	0.45739374721204185	0.4056619809831659	0.7133720536286424	0.6605707730019967	
400	0.6309231205961068	0.462665615431409	0.39860461746886144	0.7425041623653833	0.6756369963118952	
500	0.6411071630540073	0.475213332615817	0.40784933831681924	0.7163785420927663	0.6807410038731567	
600	0.6400045942660297	0.4976990233796453	0.4214604402287998	0.7235245028742221	0.680357668152693	
700	0.6379890435313351	0.5272551851785293	0.45675547973572694	0.7565942101069998	0.6856291327162201	
800	0.6377603596836076	0.5283929107086229	0.4641110198825432	0.7435758864830333	0.6844777506146883	
900	0.6342118945758073	0.5312538803087785	0.4719857409009686	0.7511979549824641	0.6818747223709238	
1000	0.6314281047114136	0.5298197886214226	0.47157235630519473	0.7657467130365904	0.6793843705745986	
