Size	entropy1	entropy2	entropy3	kmeans	gradient	
200	0.9441624365482233	0.6938053097345134	0.619108280254777	0.8552552552552553	0.8857808857808858	
300	0.9434239529757531	0.7141768292682926	0.648427929767252	0.8766404199475065	0.90625	
400	0.9510795299262095	0.7220662549129702	0.6516720923350104	0.8978242908289727	0.9156558533145274	
500	0.9614718614718616	0.7330236673302367	0.6622058144900784	0.883362676056338	0.9198481803974101	
600	0.9616212338593974	0.74945295404814	0.6737440758293838	0.8911392405063292	0.9198889916743754	
700	0.9651269501376568	0.7720006208288065	0.7013821922211507	0.9128489896652784	0.9261702796104305	
800	0.9690776376907764	0.775	0.709579180509413	0.9087037529944104	0.9286781687270752	
900	0.97119341563786	0.7791279485346676	0.7182617187500001	0.913685204864801	0.9302997472011557	
1000	0.9741860710146454	0.7791181808476567	0.7193020719738278	0.9187704658286681	0.9325285621901271	
